qid,question,context,answer
1283,From what domination did Yugoslavia liberate itself?,"Unlike other new communist states in east-central Europe, Yugoslavia liberated itself from Axis domination with limited direct support from the Red Army. Tito's leading role in liberating Yugoslavia not only greatly strengthened his position in his party and among the Yugoslav people, but also caused him to be more insistent that Yugoslavia had more room to follow its own interests than other Bloc leaders who had more reasons (and pressures) to recognize Soviet efforts in helping them liberate their own countries from Axis control. Although Tito was formally an ally of Stalin after World War II, the Soviets had set up a spy ring in the Yugoslav party as early as 1945, giving way to an uneasy alliance.[citation needed]",Axis
1284,Who set up a spy ring in the Yugoslav party?,"Unlike other new communist states in east-central Europe, Yugoslavia liberated itself from Axis domination with limited direct support from the Red Army. Tito's leading role in liberating Yugoslavia not only greatly strengthened his position in his party and among the Yugoslav people, but also caused him to be more insistent that Yugoslavia had more room to follow its own interests than other Bloc leaders who had more reasons (and pressures) to recognize Soviet efforts in helping them liberate their own countries from Axis control. Although Tito was formally an ally of Stalin after World War II, the Soviets had set up a spy ring in the Yugoslav party as early as 1945, giving way to an uneasy alliance.[citation needed]",Soviets
1285,What cut of pork do those in Western North Carolina prefer for BBQ?,"A culinary staple of North Carolina is pork barbecue. There are strong regional differences and rivalries over the sauces and methods used in making the barbecue. The common trend across Western North Carolina is the use of premium grade Boston butt. Western North Carolina pork barbecue uses a tomato-based sauce, and only the pork shoulder (dark meat) is used. Western North Carolina barbecue is commonly referred to as Lexington barbecue after the Piedmont Triad town of Lexington, home of the Lexington Barbecue Festival, which attracts over 100,000 visitors each October. Eastern North Carolina pork barbecue uses a vinegar-and-red-pepper-based sauce and the ""whole hog"" is cooked, thus integrating both white and dark meat.",pork shoulder
1286,How many people visit the lexington Barbecue festival each year?,"A culinary staple of North Carolina is pork barbecue. There are strong regional differences and rivalries over the sauces and methods used in making the barbecue. The common trend across Western North Carolina is the use of premium grade Boston butt. Western North Carolina pork barbecue uses a tomato-based sauce, and only the pork shoulder (dark meat) is used. Western North Carolina barbecue is commonly referred to as Lexington barbecue after the Piedmont Triad town of Lexington, home of the Lexington Barbecue Festival, which attracts over 100,000 visitors each October. Eastern North Carolina pork barbecue uses a vinegar-and-red-pepper-based sauce and the ""whole hog"" is cooked, thus integrating both white and dark meat.","over 100,000"
1287,What is another name for Western North Carolina Barbecue?,"A culinary staple of North Carolina is pork barbecue. There are strong regional differences and rivalries over the sauces and methods used in making the barbecue. The common trend across Western North Carolina is the use of premium grade Boston butt. Western North Carolina pork barbecue uses a tomato-based sauce, and only the pork shoulder (dark meat) is used. Western North Carolina barbecue is commonly referred to as Lexington barbecue after the Piedmont Triad town of Lexington, home of the Lexington Barbecue Festival, which attracts over 100,000 visitors each October. Eastern North Carolina pork barbecue uses a vinegar-and-red-pepper-based sauce and the ""whole hog"" is cooked, thus integrating both white and dark meat.",Lexington barbecue
1288,What is a culinary staple of North Carolina?,"A culinary staple of North Carolina is pork barbecue. There are strong regional differences and rivalries over the sauces and methods used in making the barbecue. The common trend across Western North Carolina is the use of premium grade Boston butt. Western North Carolina pork barbecue uses a tomato-based sauce, and only the pork shoulder (dark meat) is used. Western North Carolina barbecue is commonly referred to as Lexington barbecue after the Piedmont Triad town of Lexington, home of the Lexington Barbecue Festival, which attracts over 100,000 visitors each October. Eastern North Carolina pork barbecue uses a vinegar-and-red-pepper-based sauce and the ""whole hog"" is cooked, thus integrating both white and dark meat.",pork barbecue
1289,What cut of pork do those in western North carolina prefer for BBQ?,"A culinary staple of North Carolina is pork barbecue. There are strong regional differences and rivalries over the sauces and methods used in making the barbecue. The common trend across Western North Carolina is the use of premium grade Boston butt. Western North Carolina pork barbecue uses a tomato-based sauce, and only the pork shoulder (dark meat) is used. Western North Carolina barbecue is commonly referred to as Lexington barbecue after the Piedmont Triad town of Lexington, home of the Lexington Barbecue Festival, which attracts over 100,000 visitors each October. Eastern North Carolina pork barbecue uses a vinegar-and-red-pepper-based sauce and the ""whole hog"" is cooked, thus integrating both white and dark meat.",Boston butt
1290,What was the estimated value of CDO issuance in Q1 2008?,"CDO issuance grew from an estimated $20 billion in Q1 2004 to its peak of over $180 billion by Q1 2007, then declined back under $20 billion by Q1 2008. Further, the credit quality of CDO's declined from 2000 to 2007, as the level of subprime and other non-prime mortgage debt increased from 5% to 36% of CDO assets. As described in the section on subprime lending, the CDS and portfolio of CDS called synthetic CDO enabled a theoretically infinite amount to be wagered on the finite value of housing loans outstanding, provided that buyers and sellers of the derivatives could be found. For example, buying a CDS to insure a CDO ended up giving the seller the same risk as if they owned the CDO, when those CDO's became worthless.",under $20 billion
1291,What was the estimated value of CDO issuance in Q1 2004?,"CDO issuance grew from an estimated $20 billion in Q1 2004 to its peak of over $180 billion by Q1 2007, then declined back under $20 billion by Q1 2008. Further, the credit quality of CDO's declined from 2000 to 2007, as the level of subprime and other non-prime mortgage debt increased from 5% to 36% of CDO assets. As described in the section on subprime lending, the CDS and portfolio of CDS called synthetic CDO enabled a theoretically infinite amount to be wagered on the finite value of housing loans outstanding, provided that buyers and sellers of the derivatives could be found. For example, buying a CDS to insure a CDO ended up giving the seller the same risk as if they owned the CDO, when those CDO's became worthless.",$20 billion
1292,What percent of CDO assets were subprime and other non-prime mortgage debt in 2007?,"CDO issuance grew from an estimated $20 billion in Q1 2004 to its peak of over $180 billion by Q1 2007, then declined back under $20 billion by Q1 2008. Further, the credit quality of CDO's declined from 2000 to 2007, as the level of subprime and other non-prime mortgage debt increased from 5% to 36% of CDO assets. As described in the section on subprime lending, the CDS and portfolio of CDS called synthetic CDO enabled a theoretically infinite amount to be wagered on the finite value of housing loans outstanding, provided that buyers and sellers of the derivatives could be found. For example, buying a CDS to insure a CDO ended up giving the seller the same risk as if they owned the CDO, when those CDO's became worthless.",36%
1293,When did the issuance of CDO peak?,"CDO issuance grew from an estimated $20 billion in Q1 2004 to its peak of over $180 billion by Q1 2007, then declined back under $20 billion by Q1 2008. Further, the credit quality of CDO's declined from 2000 to 2007, as the level of subprime and other non-prime mortgage debt increased from 5% to 36% of CDO assets. As described in the section on subprime lending, the CDS and portfolio of CDS called synthetic CDO enabled a theoretically infinite amount to be wagered on the finite value of housing loans outstanding, provided that buyers and sellers of the derivatives could be found. For example, buying a CDS to insure a CDO ended up giving the seller the same risk as if they owned the CDO, when those CDO's became worthless.",Q1 2007
1294,What was the estimated value of CDO issuance at it's peak in Q1 2007?,"CDO issuance grew from an estimated $20 billion in Q1 2004 to its peak of over $180 billion by Q1 2007, then declined back under $20 billion by Q1 2008. Further, the credit quality of CDO's declined from 2000 to 2007, as the level of subprime and other non-prime mortgage debt increased from 5% to 36% of CDO assets. As described in the section on subprime lending, the CDS and portfolio of CDS called synthetic CDO enabled a theoretically infinite amount to be wagered on the finite value of housing loans outstanding, provided that buyers and sellers of the derivatives could be found. For example, buying a CDS to insure a CDO ended up giving the seller the same risk as if they owned the CDO, when those CDO's became worthless.",over $180 billion
1295,Where did carpet weaving in the Empire originate?,"The art of carpet weaving was particularly significant in the Ottoman Empire, carpets having an immense importance both as decorative furnishings, rich in religious and other symbolism, and as a practical consideration, as it was customary to remove one's shoes in living quarters. The weaving of such carpets originated in the nomadic cultures of central Asia (carpets being an easily transportable form of furnishing), and was eventually spread to the settled societies of Anatolia. Turks used carpets, rugs and kilims not just on the floors of a room, but also as a hanging on walls and doorways, where they provided additional insulation. They were also commonly donated to mosques, which often amassed large collections of them.",the nomadic cultures of central Asia
1296,What was the custom for those wearing shoes indoors in the Ottoman empire?,"The art of carpet weaving was particularly significant in the Ottoman Empire, carpets having an immense importance both as decorative furnishings, rich in religious and other symbolism, and as a practical consideration, as it was customary to remove one's shoes in living quarters. The weaving of such carpets originated in the nomadic cultures of central Asia (carpets being an easily transportable form of furnishing), and was eventually spread to the settled societies of Anatolia. Turks used carpets, rugs and kilims not just on the floors of a room, but also as a hanging on walls and doorways, where they provided additional insulation. They were also commonly donated to mosques, which often amassed large collections of them.",it was customary to remove one's shoes
1297,Where did carpet weaving initially spread to inside of the Empire?,"The art of carpet weaving was particularly significant in the Ottoman Empire, carpets having an immense importance both as decorative furnishings, rich in religious and other symbolism, and as a practical consideration, as it was customary to remove one's shoes in living quarters. The weaving of such carpets originated in the nomadic cultures of central Asia (carpets being an easily transportable form of furnishing), and was eventually spread to the settled societies of Anatolia. Turks used carpets, rugs and kilims not just on the floors of a room, but also as a hanging on walls and doorways, where they provided additional insulation. They were also commonly donated to mosques, which often amassed large collections of them.",Anatolia
1298,Which art was important in religious symbolism and as a decoration in the Ottoman empire?,"The art of carpet weaving was particularly significant in the Ottoman Empire, carpets having an immense importance both as decorative furnishings, rich in religious and other symbolism, and as a practical consideration, as it was customary to remove one's shoes in living quarters. The weaving of such carpets originated in the nomadic cultures of central Asia (carpets being an easily transportable form of furnishing), and was eventually spread to the settled societies of Anatolia. Turks used carpets, rugs and kilims not just on the floors of a room, but also as a hanging on walls and doorways, where they provided additional insulation. They were also commonly donated to mosques, which often amassed large collections of them.",carpet weaving
1299,Kilims were used by Turks to provide insulation where?,"The art of carpet weaving was particularly significant in the Ottoman Empire, carpets having an immense importance both as decorative furnishings, rich in religious and other symbolism, and as a practical consideration, as it was customary to remove one's shoes in living quarters. The weaving of such carpets originated in the nomadic cultures of central Asia (carpets being an easily transportable form of furnishing), and was eventually spread to the settled societies of Anatolia. Turks used carpets, rugs and kilims not just on the floors of a room, but also as a hanging on walls and doorways, where they provided additional insulation. They were also commonly donated to mosques, which often amassed large collections of them.",walls and doorways
1300,What neighborhood is the Tufts medical Center located in?,"Many of Boston's medical facilities are associated with universities. The facilities in the Longwood Medical and Academic Area and in Massachusetts General Hospital are affiliated with Harvard Medical School. Tufts Medical Center (formerly Tufts-New England Medical Center), located in the southern portion of the Chinatown neighborhood, is affiliated with Tufts University School of Medicine. Boston Medical Center, located in the South End neighborhood, is the primary teaching facility for the Boston University School of Medicine as well as the largest trauma center in the Boston area; it was formed by the merger of Boston University Hospital and Boston City Hospital, which was the first municipal hospital in the United States.",Chinatown
1301,The Longwood medical and Academic Area is affiliated with what medical school?,"Many of Boston's medical facilities are associated with universities. The facilities in the Longwood Medical and Academic Area and in Massachusetts General Hospital are affiliated with Harvard Medical School. Tufts Medical Center (formerly Tufts-New England Medical Center), located in the southern portion of the Chinatown neighborhood, is affiliated with Tufts University School of Medicine. Boston Medical Center, located in the South End neighborhood, is the primary teaching facility for the Boston University School of Medicine as well as the largest trauma center in the Boston area; it was formed by the merger of Boston University Hospital and Boston City Hospital, which was the first municipal hospital in the United States.",Harvard Medical School
1302,A lot of Bostond medical facilities are associated with what?,"Many of Boston's medical facilities are associated with universities. The facilities in the Longwood Medical and Academic Area and in Massachusetts General Hospital are affiliated with Harvard Medical School. Tufts Medical Center (formerly Tufts-New England Medical Center), located in the southern portion of the Chinatown neighborhood, is affiliated with Tufts University School of Medicine. Boston Medical Center, located in the South End neighborhood, is the primary teaching facility for the Boston University School of Medicine as well as the largest trauma center in the Boston area; it was formed by the merger of Boston University Hospital and Boston City Hospital, which was the first municipal hospital in the United States.",universities
1303,What is the name of the first municipal Hospital in the US?,"Many of Boston's medical facilities are associated with universities. The facilities in the Longwood Medical and Academic Area and in Massachusetts General Hospital are affiliated with Harvard Medical School. Tufts Medical Center (formerly Tufts-New England Medical Center), located in the southern portion of the Chinatown neighborhood, is affiliated with Tufts University School of Medicine. Boston Medical Center, located in the South End neighborhood, is the primary teaching facility for the Boston University School of Medicine as well as the largest trauma center in the Boston area; it was formed by the merger of Boston University Hospital and Boston City Hospital, which was the first municipal hospital in the United States.",Boston City Hospital
1304,Tufts- new England medical Center was renamed what?,"Many of Boston's medical facilities are associated with universities. The facilities in the Longwood Medical and Academic Area and in Massachusetts General Hospital are affiliated with Harvard Medical School. Tufts Medical Center (formerly Tufts-New England Medical Center), located in the southern portion of the Chinatown neighborhood, is affiliated with Tufts University School of Medicine. Boston Medical Center, located in the South End neighborhood, is the primary teaching facility for the Boston University School of Medicine as well as the largest trauma center in the Boston area; it was formed by the merger of Boston University Hospital and Boston City Hospital, which was the first municipal hospital in the United States.",Tufts Medical Center
1305,Where did Gaddafi's signal course take place?,"The Bovington signal course's director reported that Gaddafi successfully overcame problems learning English, displaying a firm command of voice procedure. Noting that Gaddafi's favourite hobbies were reading and playing football, he thought him an ""amusing officer, always cheerful, hard-working, and conscientious."" Gaddafi disliked England, claiming British Army officers racially insulted him and finding it difficult adjusting to the country's culture; asserting his Arab identity in London, he walked around Piccadilly wearing traditional Libyan robes. He later related that while he travelled to England believing it more advanced than Libya, he returned home ""more confident and proud of our values, ideals and social character.""",Bovington
1306,"When Gaddafi returned to Libya, how did he view his country?","The Bovington signal course's director reported that Gaddafi successfully overcame problems learning English, displaying a firm command of voice procedure. Noting that Gaddafi's favourite hobbies were reading and playing football, he thought him an ""amusing officer, always cheerful, hard-working, and conscientious."" Gaddafi disliked England, claiming British Army officers racially insulted him and finding it difficult adjusting to the country's culture; asserting his Arab identity in London, he walked around Piccadilly wearing traditional Libyan robes. He later related that while he travelled to England believing it more advanced than Libya, he returned home ""more confident and proud of our values, ideals and social character.""","while he travelled to England believing it more advanced than Libya, he returned home ""more confident and proud of our values, ideals and social character."""
1307,How did the Bovington sign course director think of Gaddafi?,"The Bovington signal course's director reported that Gaddafi successfully overcame problems learning English, displaying a firm command of voice procedure. Noting that Gaddafi's favourite hobbies were reading and playing football, he thought him an ""amusing officer, always cheerful, hard-working, and conscientious."" Gaddafi disliked England, claiming British Army officers racially insulted him and finding it difficult adjusting to the country's culture; asserting his Arab identity in London, he walked around Piccadilly wearing traditional Libyan robes. He later related that while he travelled to England believing it more advanced than Libya, he returned home ""more confident and proud of our values, ideals and social character.""","an ""amusing officer, always cheerful, hard-working, and conscientious."""
1308,"When Gaddafi traveled to London, did he attempt to blend into the English culture?","The Bovington signal course's director reported that Gaddafi successfully overcame problems learning English, displaying a firm command of voice procedure. Noting that Gaddafi's favourite hobbies were reading and playing football, he thought him an ""amusing officer, always cheerful, hard-working, and conscientious."" Gaddafi disliked England, claiming British Army officers racially insulted him and finding it difficult adjusting to the country's culture; asserting his Arab identity in London, he walked around Piccadilly wearing traditional Libyan robes. He later related that while he travelled to England believing it more advanced than Libya, he returned home ""more confident and proud of our values, ideals and social character.""","finding it difficult adjusting to the country's culture; asserting his Arab identity in London, he walked around Piccadilly wearing traditional Libyan robes"
1309,In what part of London did Gaddafi wear traditional Arab garb?,"The Bovington signal course's director reported that Gaddafi successfully overcame problems learning English, displaying a firm command of voice procedure. Noting that Gaddafi's favourite hobbies were reading and playing football, he thought him an ""amusing officer, always cheerful, hard-working, and conscientious."" Gaddafi disliked England, claiming British Army officers racially insulted him and finding it difficult adjusting to the country's culture; asserting his Arab identity in London, he walked around Piccadilly wearing traditional Libyan robes. He later related that while he travelled to England believing it more advanced than Libya, he returned home ""more confident and proud of our values, ideals and social character.""",Piccadilly
1310,The evolutionary arms race between prey and predator has resulted in what?,"Predation is a biological interaction where a predator (a heterotroph that is hunting) feeds on its prey (the organism that is attacked). Predators may or may not kill their prey prior to feeding on them, but the act of predation almost always results in the death of the prey. The other main category of consumption is detritivory, the consumption of dead organic matter. It can at times be difficult to separate the two feeding behaviours, for example, where parasitic species prey on a host organism and then lay their eggs on it for their offspring to feed on its decaying corpse. Selective pressures imposed on one another has led to an evolutionary arms race between prey and predator, resulting in various antipredator adaptations.",various antipredator adaptations
1311,Why do parasitic species lay their eggs on their prey?,"Predation is a biological interaction where a predator (a heterotroph that is hunting) feeds on its prey (the organism that is attacked). Predators may or may not kill their prey prior to feeding on them, but the act of predation almost always results in the death of the prey. The other main category of consumption is detritivory, the consumption of dead organic matter. It can at times be difficult to separate the two feeding behaviours, for example, where parasitic species prey on a host organism and then lay their eggs on it for their offspring to feed on its decaying corpse. Selective pressures imposed on one another has led to an evolutionary arms race between prey and predator, resulting in various antipredator adaptations.",their offspring to feed on its decaying corpse
1312,The act of predation typically results in what for the prey?,"Predation is a biological interaction where a predator (a heterotroph that is hunting) feeds on its prey (the organism that is attacked). Predators may or may not kill their prey prior to feeding on them, but the act of predation almost always results in the death of the prey. The other main category of consumption is detritivory, the consumption of dead organic matter. It can at times be difficult to separate the two feeding behaviours, for example, where parasitic species prey on a host organism and then lay their eggs on it for their offspring to feed on its decaying corpse. Selective pressures imposed on one another has led to an evolutionary arms race between prey and predator, resulting in various antipredator adaptations.",death
1313,What is the consumption of dead organic matter called?,"Predation is a biological interaction where a predator (a heterotroph that is hunting) feeds on its prey (the organism that is attacked). Predators may or may not kill their prey prior to feeding on them, but the act of predation almost always results in the death of the prey. The other main category of consumption is detritivory, the consumption of dead organic matter. It can at times be difficult to separate the two feeding behaviours, for example, where parasitic species prey on a host organism and then lay their eggs on it for their offspring to feed on its decaying corpse. Selective pressures imposed on one another has led to an evolutionary arms race between prey and predator, resulting in various antipredator adaptations.",detritivory
1314,What is the biological interaction where a predator feeds on its prey called?,"Predation is a biological interaction where a predator (a heterotroph that is hunting) feeds on its prey (the organism that is attacked). Predators may or may not kill their prey prior to feeding on them, but the act of predation almost always results in the death of the prey. The other main category of consumption is detritivory, the consumption of dead organic matter. It can at times be difficult to separate the two feeding behaviours, for example, where parasitic species prey on a host organism and then lay their eggs on it for their offspring to feed on its decaying corpse. Selective pressures imposed on one another has led to an evolutionary arms race between prey and predator, resulting in various antipredator adaptations.",Predation
1315,When was the first bicycle lane created in New Haven? ,"In 2004, the first bike lane in the city was added to Orange Street, connecting East Rock Park and the East Rock neighborhood to downtown. Since then, bike lanes have also been added to sections of Howard Ave, Elm St, Dixwell Avenue, Water Street, Clinton Avenue and State Street. The city has created recommended bike routes for getting around New Haven, including use of the Canal Trail and the Orange Street lane. A bike map of the city entire can be seen here , and bike maps broken down by area here . As of the end of 2012, bicycle lanes have also been added in both directions on Dixwell Avenue along most of the street from downtown to the Hamden town line, as well as along Howard Avenue from Yale New Haven Hospital to City Point.",2004
1316,The lane stretch from East Rock park to what part of the city?,"In 2004, the first bike lane in the city was added to Orange Street, connecting East Rock Park and the East Rock neighborhood to downtown. Since then, bike lanes have also been added to sections of Howard Ave, Elm St, Dixwell Avenue, Water Street, Clinton Avenue and State Street. The city has created recommended bike routes for getting around New Haven, including use of the Canal Trail and the Orange Street lane. A bike map of the city entire can be seen here , and bike maps broken down by area here . As of the end of 2012, bicycle lanes have also been added in both directions on Dixwell Avenue along most of the street from downtown to the Hamden town line, as well as along Howard Avenue from Yale New Haven Hospital to City Point.",downtown
1317,"In addition to Orange Street, what is a bike route recommended for use by the city of New Haven?","In 2004, the first bike lane in the city was added to Orange Street, connecting East Rock Park and the East Rock neighborhood to downtown. Since then, bike lanes have also been added to sections of Howard Ave, Elm St, Dixwell Avenue, Water Street, Clinton Avenue and State Street. The city has created recommended bike routes for getting around New Haven, including use of the Canal Trail and the Orange Street lane. A bike map of the city entire can be seen here , and bike maps broken down by area here . As of the end of 2012, bicycle lanes have also been added in both directions on Dixwell Avenue along most of the street from downtown to the Hamden town line, as well as along Howard Avenue from Yale New Haven Hospital to City Point.",Canal Trail
1318,How is it possible to located the direction of bike lanes within the city?,"In 2004, the first bike lane in the city was added to Orange Street, connecting East Rock Park and the East Rock neighborhood to downtown. Since then, bike lanes have also been added to sections of Howard Ave, Elm St, Dixwell Avenue, Water Street, Clinton Avenue and State Street. The city has created recommended bike routes for getting around New Haven, including use of the Canal Trail and the Orange Street lane. A bike map of the city entire can be seen here , and bike maps broken down by area here . As of the end of 2012, bicycle lanes have also been added in both directions on Dixwell Avenue along most of the street from downtown to the Hamden town line, as well as along Howard Avenue from Yale New Haven Hospital to City Point.",bike map of the city
1319,What year did New Haven finally integrated bike lanes to most of the city?,"In 2004, the first bike lane in the city was added to Orange Street, connecting East Rock Park and the East Rock neighborhood to downtown. Since then, bike lanes have also been added to sections of Howard Ave, Elm St, Dixwell Avenue, Water Street, Clinton Avenue and State Street. The city has created recommended bike routes for getting around New Haven, including use of the Canal Trail and the Orange Street lane. A bike map of the city entire can be seen here , and bike maps broken down by area here . As of the end of 2012, bicycle lanes have also been added in both directions on Dixwell Avenue along most of the street from downtown to the Hamden town line, as well as along Howard Avenue from Yale New Haven Hospital to City Point.",end of 2012
1320,What contagiously throbs during the week of events?,"Carnival means weeks of events that bring colourfully decorated floats, contagiously throbbing music, luxuriously costumed groups of celebrants of all ages, King and Queen elections, electrifying jump-ups and torchlight parades, the Jouvert morning: the Children's Parades and finally the Grand Parade. Aruba's biggest celebration is a month-long affair consisting of festive ""jump-ups"" (street parades), spectacular parades and creative contests. Music and flamboyant costumes play a central role, from the Queen elections to the Grand Parade. Street parades continue in various districts throughout the month, with brass band, steel drum and roadmarch tunes. On the evening before Lent, Carnival ends with the symbolic burning of King Momo.",music
1321,When is King Mom symbolically burnt?,"Carnival means weeks of events that bring colourfully decorated floats, contagiously throbbing music, luxuriously costumed groups of celebrants of all ages, King and Queen elections, electrifying jump-ups and torchlight parades, the Jouvert morning: the Children's Parades and finally the Grand Parade. Aruba's biggest celebration is a month-long affair consisting of festive ""jump-ups"" (street parades), spectacular parades and creative contests. Music and flamboyant costumes play a central role, from the Queen elections to the Grand Parade. Street parades continue in various districts throughout the month, with brass band, steel drum and roadmarch tunes. On the evening before Lent, Carnival ends with the symbolic burning of King Momo.",On the evening before Lent
1322,What continues in various districts throughout the month of the Carnival?,"Carnival means weeks of events that bring colourfully decorated floats, contagiously throbbing music, luxuriously costumed groups of celebrants of all ages, King and Queen elections, electrifying jump-ups and torchlight parades, the Jouvert morning: the Children's Parades and finally the Grand Parade. Aruba's biggest celebration is a month-long affair consisting of festive ""jump-ups"" (street parades), spectacular parades and creative contests. Music and flamboyant costumes play a central role, from the Queen elections to the Grand Parade. Street parades continue in various districts throughout the month, with brass band, steel drum and roadmarch tunes. On the evening before Lent, Carnival ends with the symbolic burning of King Momo.",Street parades
1323,How long does Aruba's biggest celebration last?,"Carnival means weeks of events that bring colourfully decorated floats, contagiously throbbing music, luxuriously costumed groups of celebrants of all ages, King and Queen elections, electrifying jump-ups and torchlight parades, the Jouvert morning: the Children's Parades and finally the Grand Parade. Aruba's biggest celebration is a month-long affair consisting of festive ""jump-ups"" (street parades), spectacular parades and creative contests. Music and flamboyant costumes play a central role, from the Queen elections to the Grand Parade. Street parades continue in various districts throughout the month, with brass band, steel drum and roadmarch tunes. On the evening before Lent, Carnival ends with the symbolic burning of King Momo.",a month
1324,What type of costumes play a central role in the Queen elections?,"Carnival means weeks of events that bring colourfully decorated floats, contagiously throbbing music, luxuriously costumed groups of celebrants of all ages, King and Queen elections, electrifying jump-ups and torchlight parades, the Jouvert morning: the Children's Parades and finally the Grand Parade. Aruba's biggest celebration is a month-long affair consisting of festive ""jump-ups"" (street parades), spectacular parades and creative contests. Music and flamboyant costumes play a central role, from the Queen elections to the Grand Parade. Street parades continue in various districts throughout the month, with brass band, steel drum and roadmarch tunes. On the evening before Lent, Carnival ends with the symbolic burning of King Momo.",flamboyant
1325,"With Franco's dictatorship over, to what did Barcelona change their name ?","The 1960s were less successful for the club, with Real Madrid monopolising La Liga. The completion of the Camp Nou, finished in 1957, meant the club had little money to spend on new players. The 1960s saw the emergence of Josep Maria Fusté and Carles Rexach, and the club won the Copa del Generalísimo in 1963 and the Fairs Cup in 1966. Barcelona restored some pride by beating Real Madrid 1–0 in the 1968 Copa del Generalísimo final at the Bernabéu in front of Franco, with coach Salvador Artigas, a former republican pilot in the civil war. With the end of Franco's dictatorship in 1974, the club changed its official name back to Futbol Club Barcelona and reverted the crest to its original design, including the original letters once again.",Futbol Club Barcelona
1326,What competition did Barcelona win in 1966?,"The 1960s were less successful for the club, with Real Madrid monopolising La Liga. The completion of the Camp Nou, finished in 1957, meant the club had little money to spend on new players. The 1960s saw the emergence of Josep Maria Fusté and Carles Rexach, and the club won the Copa del Generalísimo in 1963 and the Fairs Cup in 1966. Barcelona restored some pride by beating Real Madrid 1–0 in the 1968 Copa del Generalísimo final at the Bernabéu in front of Franco, with coach Salvador Artigas, a former republican pilot in the civil war. With the end of Franco's dictatorship in 1974, the club changed its official name back to Futbol Club Barcelona and reverted the crest to its original design, including the original letters once again.",Fairs Cup
1327,What team was dominate in the 1960s in La Liga?,"The 1960s were less successful for the club, with Real Madrid monopolising La Liga. The completion of the Camp Nou, finished in 1957, meant the club had little money to spend on new players. The 1960s saw the emergence of Josep Maria Fusté and Carles Rexach, and the club won the Copa del Generalísimo in 1963 and the Fairs Cup in 1966. Barcelona restored some pride by beating Real Madrid 1–0 in the 1968 Copa del Generalísimo final at the Bernabéu in front of Franco, with coach Salvador Artigas, a former republican pilot in the civil war. With the end of Franco's dictatorship in 1974, the club changed its official name back to Futbol Club Barcelona and reverted the crest to its original design, including the original letters once again.",Real Madrid
1328,"Due to the emergence of Fuste and Rexach, what competition did Barcelona win in 1963?","The 1960s were less successful for the club, with Real Madrid monopolising La Liga. The completion of the Camp Nou, finished in 1957, meant the club had little money to spend on new players. The 1960s saw the emergence of Josep Maria Fusté and Carles Rexach, and the club won the Copa del Generalísimo in 1963 and the Fairs Cup in 1966. Barcelona restored some pride by beating Real Madrid 1–0 in the 1968 Copa del Generalísimo final at the Bernabéu in front of Franco, with coach Salvador Artigas, a former republican pilot in the civil war. With the end of Franco's dictatorship in 1974, the club changed its official name back to Futbol Club Barcelona and reverted the crest to its original design, including the original letters once again.",Copa del Generalísimo
1329,Who was present when Barcelona beat Real Madrid in 1968?,"The 1960s were less successful for the club, with Real Madrid monopolising La Liga. The completion of the Camp Nou, finished in 1957, meant the club had little money to spend on new players. The 1960s saw the emergence of Josep Maria Fusté and Carles Rexach, and the club won the Copa del Generalísimo in 1963 and the Fairs Cup in 1966. Barcelona restored some pride by beating Real Madrid 1–0 in the 1968 Copa del Generalísimo final at the Bernabéu in front of Franco, with coach Salvador Artigas, a former republican pilot in the civil war. With the end of Franco's dictatorship in 1974, the club changed its official name back to Futbol Club Barcelona and reverted the crest to its original design, including the original letters once again.",Franco
1330,How many lions are found on the Golden Boot?,"Its main body is solid sterling silver and silver gilt, while its plinth is made of malachite, a semi-precious stone. The plinth has a silver band around its circumference, upon which the names of the title-winning clubs are listed. Malachite's green colour is also representative of the green field of play. The design of the trophy is based on the heraldry of Three Lions that is associated with English football. Two of the lions are found above the handles on either side of the trophy – the third is symbolised by the captain of the title winning team as he raises the trophy, and its gold crown, above his head at the end of the season. The ribbons that drape the handles are presented in the team colours of the league champions that year.",Two
1331,Who symbolizes the third lion not found on the Golden Boot trophy?,"Its main body is solid sterling silver and silver gilt, while its plinth is made of malachite, a semi-precious stone. The plinth has a silver band around its circumference, upon which the names of the title-winning clubs are listed. Malachite's green colour is also representative of the green field of play. The design of the trophy is based on the heraldry of Three Lions that is associated with English football. Two of the lions are found above the handles on either side of the trophy – the third is symbolised by the captain of the title winning team as he raises the trophy, and its gold crown, above his head at the end of the season. The ribbons that drape the handles are presented in the team colours of the league champions that year.",the captain of the title winning team
1332,What do the ribbons on the trophy mean?,"Its main body is solid sterling silver and silver gilt, while its plinth is made of malachite, a semi-precious stone. The plinth has a silver band around its circumference, upon which the names of the title-winning clubs are listed. Malachite's green colour is also representative of the green field of play. The design of the trophy is based on the heraldry of Three Lions that is associated with English football. Two of the lions are found above the handles on either side of the trophy – the third is symbolised by the captain of the title winning team as he raises the trophy, and its gold crown, above his head at the end of the season. The ribbons that drape the handles are presented in the team colours of the league champions that year.",The ribbons that drape the handles are presented in the team colours of the league champions that year.
